,Price,Year,Mileage,City,State,Vin,Make,Model
259366,3995,2004,85182,San Antonio, TX,1FTPX14544NB01217,Ford,F-1504WD
267925,7500,2008,113332,Bellevue, NE,1FTRF14VX8KC27150,Ford,F-1504WD
268873,15264,2008,7777,Pensacola, FL,1FTRF14W28KD53883,Ford,F-1504WD
269523,19800,2016,12375,Miami, FL,1FTEW1EF2GFB92665,Ford,F-1504WD
270730,7995,2007,81251,Lugoff, SC,1FTRF14W67NA50750,Ford,F-1504WD
272283,9995,2005,74963,Kahului, HI,1FTPW145X5FA50515,Ford,F-1504WD
274988,11995,2010,74365,Tampa, FL,1FTMF1EW3AKE38908,Ford,F-1504WD
276653,16974,2007,10978,Atlanta, GA,1FTPW14V47FA96490,Ford,F-1504WD
276667,11995,2010,90230,Isanti, MN,1FTMF1EW6AKC37505,Ford,F-1504WD
277023,7495,2003,75650,Akron, OH,1FTRX18W13NB86902,Ford,F-1504WD
277737,24568,2016,6194,Fredericksburg, VA,1FTMF1EP5GKD41534,Ford,F-1504WD
278060,20240,2014,20914,Nashville, TN,1FTMF1EM2EFA94615,Ford,F-1504WD
278106,18950,2009,14405,Independence, MO,1FTRX148X9KB36646,Ford,F-1504WD
278271,12000,2007,71021,Ottumwa, IA,1FTPX14V17FA93771,Ford,F-1504WD
278342,7755,2003,107295,Plattsmouth, NE,1FTRX18L33NA13288,Ford,F-1504WD
278464,16988,2011,35870,Fairfax, VA,1FTMF1EM1BKE04742,Ford,F-1504WD
278846,10556,2007,90313,Seymour, IN,1FTRF14WX7KA77984,Ford,F-1504WD
279062,10850,2008,96249,Milan, MI,1FTRF14W38KD10122,Ford,F-1504WD
279102,12997,2008,60764,Round Rock, TX,1FTRF14WX8KD35275,Ford,F-1504WD
279301,14800,2009,62200,Patchogue, NY,1FTRX14W09FA79283,Ford,F-1504WD
279424,4995,2000,89613,Belton, TX,1FTRX18LXYKB02090,Ford,F-1504WD
279478,20995,2014,27391,Fort Smith, AR,1FTMF1EM6EKD50357,Ford,F-1504WD
279793,9988,2006,100943,Burlington, VT,1FTRX14W16FA29360,Ford,F-1504WD
279853,14675,2010,70751,Lomira, WI,1FTNF1E85AKC35962,Ford,F-1504WD
279950,9900,2010,118783,Chesapeake, VA,1FTMF1E8XAFC71991,Ford,F-1504WD
279992,20999,2014,19727,Hamburg, NY,1FTMF1EM7EKE48507,Ford,F-1504WD
280020,10000,2006,91706,Mooresville, IN,1FTPX14596FA74044,Ford,F-1504WD
280116,17500,2010,37793,Portsmouth, OH,1FTMF1EWXAKA83784,Ford,F-1504WD
280327,19995,2014,33076,Bedford, OH,1FTEX1EM7EFA47341,Ford,F-1504WD
280400,9299,2007,101994,West Bridgewater, MA,1FTPX14557FA11847,Ford,F-1504WD
280496,7995,2011,152478,Atlanta, GA,1FTFW1ET9BKE13155,Ford,F-1504WD
280644,9900,2006,87137,Cypress, TX,1FTRX14W56NA83072,Ford,F-1504WD
280707,11995,2007,70743,Anchorage, AK,1FTVF145X7NA67427,Ford,F-1504WD
280876,23597,2016,33642,Lincoln, NE,1FTMF1E83GKE43813,Ford,F-1504WD
280976,11289,2006,84718,Lexington, KY,1FTPX14V46FB20279,Ford,F-1504WD
281061,11750,2008,85205,Pinconning, MI,1FTRX14W08FA33077,Ford,F-1504WD
281223,6995,2002,94249,Bel Air, MD,2FTRX18L02CA87630,Ford,F-1504WD
281266,7995,2001,69497,Levittown, PA,2FTRX08L11CA92067,Ford,F-1504WD
281329,8996,2005,101869,Mt. Pocono, PA,1FTPX14585NC07428,Ford,F-1504WD
281379,10750,2007,105310,Plainfield, IN,1FTRF14W07NA88586,Ford,F-1504WD
281562,2400,2001,140000,Hillsdale, MI,1FTRX18L51NA08106,Ford,F-1504WD
281583,13993,2012,100842,Centennial, CO,1FTNF1EF9CKD57631,Ford,F-1504WD
281586,11970,2008,99557,Blair, NE,1FTVF14598KD80116,Ford,F-1504WD
281618,9995,2005,90906,Kahului, HI,1FTPX14525FB15001,Ford,F-1504WD
281852,3500,2001,124702,Southgate, MI,2FTRX18W11CA18390,Ford,F-1504WD
282039,24978,2016,194,Maitland, FL,1FTMF1E8XGKF86306,Ford,F-1504WD
282108,24988,2016,368,Maitland, FL,1FTMF1E80GKF86296,Ford,F-1504WD
282121,15000,2007,40154,Murrysville, PA,1FTPX14V17NA63837,Ford,F-1504WD
282160,7995,2004,98865,Cleveland, OH,1FTRX14W64NC68938,Ford,F-1504WD
282167,23595,2014,6846,Rochester, MN,1FTMF1EM4EFD11016,Ford,F-1504WD
282288,4995,2007,161344,Gahanna, OH,1FTRF14WX7KA95417,Ford,F-1504WD
