,Price,Where
0,31270,Local
1,33435,Local
2,34506,Local
3,36101,Local
4,36119,Local
5,36773,Local
6,37033,Local
7,37119,Local
8,38031,Local
9,38259,Local
10,38293,Local
11,39572,Local
12,39597,Local
13,39667,Local
14,39927,Local
15,39239,Local
16,39271,Local
17,39293,Local
18,39535,Local
19,39623,Local
20,40107,Local
21,40139,Local
22,40331,Local
23,40394,Local
24,40419,Local
25,40818,Local
26,41094,Local
27,41286,Local
28,41332,Local
29,41633,Local
30,41747,Local
31,41773,Local
32,41776,Local
33,41928,Local
34,41981,Local
35,42071,Local
36,42098,Local
37,42112,Local
38,42191,Local
39,42264,Local
40,42297,Local
41,42297,Local
42,42377,Local
43,42721,Local
44,42963,Local
45,43076,Local
46,43320,Local
47,46675,Local
48,47890,Local
49,48141,Local
50,49637,Local
51,52536,Local
52,52611,Local
53,52735,Local
54,53179,Local
55,54156,Local
56,58816,Local
57,60325,Local
58,63574,Local
59,68867,Local
60,73365,Local
61,78138,Local
62,14887,Local
63,19863,Local
64,21811,Local
65,21867,Local
66,23877,Local
67,24863,Local
68,27444,Local
69,27467,Local
70,27633,Local
71,28631,Local
72,28761,Local
73,28811,Local
74,29511,Local
75,29833,Local
76,30843,Local
77,32433,Local
78,32577,Local
79,32841,Local
80,33611,Local
81,33708,Local
82,33821,Local
83,33822,Local
84,33886,Local
85,34288,Local
86,34887,Local
87,36821,Local
88,37633,Local
89,38844,Local
90,40477,Local
91,40631,Local
92,41633,Local
93,41877,Local
94,42633,Local
95,43633,Local
96,48411,Local
97,48588,Local
98,50867,Local
99,50877,Local
100,58844,Local
0,6394,Longmont
1,13525,Longmont
2,15199,Longmont
3,15566,Longmont
4,15847,Longmont
5,17400,Longmont
6,19538,Longmont
7,23199,Longmont
8,24199,Longmont
9,24301,Longmont
10,25136,Longmont
11,25297,Longmont
12,26082,Longmont
13,27664,Longmont
14,29801,Longmont
15,30299,Longmont
16,30699,Longmont
17,33020,Longmont
18,33241,Longmont
19,34891,Longmont
20,37998,Longmont
21,26599,Longmont
22,27699,Longmont
23,27949,Longmont
24,29534,Longmont
25,29799,Longmont
26,30599,Longmont
27,30999,Longmont
28,31849,Longmont
29,31849,Longmont
30,32699,Longmont
31,32849,Longmont
32,33699,Longmont
33,33899,Longmont
34,34199,Longmont
35,34399,Longmont
36,34549,Longmont
37,35299,Longmont
38,35359,Longmont
39,35949,Longmont
40,36049,Longmont
41,36099,Longmont
42,36099,Longmont
43,36199,Longmont
44,36199,Longmont
45,36249,Longmont
46,36299,Longmont
47,36399,Longmont
48,36449,Longmont
49,36449,Longmont
50,36449,Longmont
51,36461,Longmont
52,36494,Longmont
53,36499,Longmont
54,36799,Longmont
55,36799,Longmont
56,36799,Longmont
57,36799,Longmont
58,36850,Longmont
59,36949,Longmont
60,36949,Longmont
61,37199,Longmont
62,37199,Longmont
63,37199,Longmont
64,37299,Longmont
65,37399,Longmont
66,37399,Longmont
67,37399,Longmont
68,37399,Longmont
69,38199,Longmont
70,38399,Longmont
71,38499,Longmont
72,38499,Longmont
73,38499,Longmont
74,38599,Longmont
75,38699,Longmont
76,38699,Longmont
77,38699,Longmont
78,38899,Longmont
79,38899,Longmont
80,38949,Longmont
81,38999,Longmont
82,38999,Longmont
83,38999,Longmont
84,39104,Longmont
85,39249,Longmont
86,39299,Longmont
87,39299,Longmont
88,39399,Longmont
89,39499,Longmont
90,39499,Longmont
91,39599,Longmont
92,39699,Longmont
93,39699,Longmont
94,39699,Longmont
95,39799,Longmont
96,39799,Longmont
97,39999,Longmont
98,40299,Longmont
99,40299,Longmont
100,40299,Longmont
101,40399,Longmont
102,40599,Longmont
103,40699,Longmont
104,40899,Longmont
105,41042,Longmont
106,41099,Longmont
107,41199,Longmont
108,41199,Longmont
109,41199,Longmont
110,41299,Longmont
111,41399,Longmont
112,41399,Longmont
113,41399,Longmont
114,41499,Longmont
115,41499,Longmont
116,41499,Longmont
117,41699,Longmont
118,41699,Longmont
119,41699,Longmont
120,41699,Longmont
121,41799,Longmont
122,41799,Longmont
123,41799,Longmont
124,41799,Longmont
125,41899,Longmont
126,41899,Longmont
127,41899,Longmont
128,42099,Longmont
129,42199,Longmont
130,42199,Longmont
131,42199,Longmont
132,42199,Longmont
133,42299,Longmont
134,42324,Longmont
135,42349,Longmont
136,42399,Longmont
137,42499,Longmont
138,42499,Longmont
139,42599,Longmont
140,42699,Longmont
141,42799,Longmont
142,42799,Longmont
143,42899,Longmont
144,42899,Longmont
145,42999,Longmont
146,42999,Longmont
147,42999,Longmont
148,42999,Longmont
149,43099,Longmont
150,43399,Longmont
151,43499,Longmont
152,43619,Longmont
153,43799,Longmont
154,43999,Longmont
155,44099,Longmont
156,44843,Longmont
157,45199,Longmont
158,45599,Longmont
159,46019,Longmont
160,46049,Longmont
161,47299,Longmont
162,47949,Longmont
163,48299,Longmont
164,48949,Longmont
165,49099,Longmont
166,49349,Longmont
167,49649,Longmont
168,49699,Longmont
169,49699,Longmont
170,49749,Longmont
171,50049,Longmont
172,50049,Longmont
173,50199,Longmont
174,50249,Longmont
175,50249,Longmont
176,50619,Longmont
177,50949,Longmont
178,50949,Longmont
179,51249,Longmont
180,51549,Longmont
181,52049,Longmont
182,52249,Longmont
183,53249,Longmont
184,53349,Longmont
185,53949,Longmont
186,53949,Longmont
187,54299,Longmont
188,54749,Longmont
189,55249,Longmont
190,55649,Longmont
191,56649,Longmont
192,56649,Longmont
193,56699,Longmont
194,57899,Longmont
195,58699,Longmont
196,59449,Longmont
197,60699,Longmont
198,60699,Longmont
199,60899,Longmont
200,60999,Longmont
201,61199,Longmont
202,61199,Longmont
203,61268,Longmont
204,61599,Longmont
205,62699,Longmont
206,62699,Longmont
207,63399,Longmont
208,64599,Longmont
209,65699,Longmont
210,66759,Longmont
211,68199,Longmont
212,68654,Longmont
213,68999,Longmont
214,70399,Longmont
215,71999,Longmont
259366,3995,National
267925,7500,National
268873,15264,National
269523,19800,National
270730,7995,National
272283,9995,National
274988,11995,National
276653,16974,National
276667,11995,National
277023,7495,National
277737,24568,National
278060,20240,National
278106,18950,National
278271,12000,National
278342,7755,National
278464,16988,National
278846,10556,National
279062,10850,National
279102,12997,National
279301,14800,National
279424,4995,National
279478,20995,National
279793,9988,National
279853,14675,National
279950,9900,National
279992,20999,National
280020,10000,National
280116,17500,National
280327,19995,National
280400,9299,National
280496,7995,National
280644,9900,National
280707,11995,National
280876,23597,National
280976,11289,National
281061,11750,National
281223,6995,National
281266,7995,National
281329,8996,National
281379,10750,National
281562,2400,National
281583,13993,National
281586,11970,National
281618,9995,National
281852,3500,National
282039,24978,National
282108,24988,National
282121,15000,National
282160,7995,National
282167,23595,National
282288,4995,National
282318,18900,National
282349,5595,National
282409,10495,National
282469,10995,National
282511,18991,National
282543,13765,National
282577,20483,National
282590,15994,National
282614,7728,National
282695,16500,National
282707,12366,National
282709,8999,National
282714,11299,National
282801,12995,National
282810,18495,National
282815,3699,National
282879,17700,National
282896,18997,National
282985,7795,National
283099,17900,National
283163,11995,National
283353,20998,National
283384,6899,National
283396,6970,National
283468,12990,National
283477,7410,National
283570,9998,National
283585,4995,National
283653,10975,National
283743,11999,National
283759,14995,National
283775,10496,National
283835,24983,National
283876,9999,National
283933,16998,National
284089,6988,National
