,index,0
0,0,6394
1,1,13525
2,2,15199
3,3,15566
4,4,15847
5,5,17400
6,6,19538
7,7,23199
8,8,24199
9,9,24301
10,10,25136
11,11,25297
12,12,26082
13,13,27664
14,14,29801
15,15,30299
16,16,30699
17,17,33020
18,18,33241
19,19,34891
20,20,37998
21,0,26599
22,1,27699
23,2,27949
24,3,29534
25,4,29799
26,5,30599
27,6,30999
28,7,31849
29,8,31849
30,9,32699
31,10,32849
32,11,33699
33,12,33899
34,13,34199
35,14,34399
36,15,34549
37,16,35299
38,17,35359
39,18,35949
40,19,36049
41,20,36099
42,21,36099
43,22,36199
44,23,36199
45,24,36249
46,25,36299
47,26,36399
48,27,36449
49,28,36449
50,29,36449
51,30,36461
52,31,36494
53,32,36499
54,33,36799
55,34,36799
56,35,36799
57,36,36799
58,37,36850
59,38,36949
60,39,36949
61,40,37199
62,41,37199
63,42,37199
64,43,37299
65,44,37399
66,45,37399
67,46,37399
68,47,37399
69,48,38199
70,49,38399
71,50,38499
72,51,38499
73,52,38499
74,53,38599
75,54,38699
76,55,38699
77,56,38699
78,57,38899
79,58,38899
80,59,38949
81,60,38999
82,61,38999
83,62,38999
84,63,39104
85,64,39249
86,65,39299
87,66,39299
88,67,39399
89,68,39499
90,69,39499
91,70,39599
92,71,39699
93,72,39699
94,73,39699
95,74,39799
96,75,39799
97,76,39999
98,77,40299
99,78,40299
100,79,40299
101,80,40399
102,81,40599
103,82,40699
104,83,40899
105,84,41042
106,85,41099
107,86,41199
108,87,41199
109,88,41199
110,89,41299
111,90,41399
112,91,41399
113,92,41399
114,93,41499
115,94,41499
116,95,41499
117,96,41699
118,97,41699
119,98,41699
120,99,41699
121,100,41799
122,101,41799
123,102,41799
124,103,41799
125,104,41899
126,105,41899
127,106,41899
128,107,42099
129,108,42199
130,109,42199
131,110,42199
132,111,42199
133,112,42299
134,113,42324
135,114,42349
136,115,42399
137,116,42499
138,117,42499
139,118,42599
140,119,42699
141,120,42799
142,121,42799
143,122,42899
144,123,42899
145,124,42999
146,125,42999
147,126,42999
148,127,42999
149,128,43099
150,129,43399
151,130,43499
152,131,43619
153,132,43799
154,133,43999
155,134,44099
156,135,44843
157,136,45199
158,137,45599
159,138,46019
160,139,46049
161,140,47299
162,141,47949
163,142,48299
164,143,48949
165,144,49099
166,145,49349
167,146,49649
168,147,49699
169,148,49699
170,149,49749
171,150,50049
172,151,50049
173,152,50199
174,153,50249
175,154,50249
176,155,50619
177,156,50949
178,157,50949
179,158,51249
180,159,51549
181,160,52049
182,161,52249
183,162,53249
184,163,53349
185,164,53949
186,165,53949
187,166,54299
188,167,54749
189,168,55249
190,169,55649
191,170,56649
192,171,56649
193,172,56699
194,173,57899
195,174,58699
196,175,59449
197,176,60699
198,177,60699
199,178,60899
200,179,60999
201,180,61199
202,181,61199
203,182,61268
204,183,61599
205,184,62699
206,185,62699
207,186,63399
208,187,64599
209,188,65699
210,189,66759
211,190,68199
212,191,68654
213,192,68999
214,193,70399
215,194,71999
