,National,Local,Longmont
0,,"31,270","6,394"
1,,"33,435","13,525"
2,,"34,506","15,199"
3,,"36,101","15,566"
4,,"36,119","15,847"
5,,"36,773","17,400"
6,,"37,033","19,538"
7,,"37,119","23,199"
8,,"38,031","24,199"
9,,"38,259","24,301"
10,,"38,293","25,136"
11,,"39,572","25,297"
12,,"39,597","26,082"
13,,"39,667","27,664"
14,,"39,927","29,801"
15,,"39,239","30,299"
16,,"39,271","30,699"
17,,"39,293","33,020"
18,,"39,535","33,241"
19,,"39,623","34,891"
20,,"40,107","37,998"
21,,"40,139","26,599"
22,,"40,331","27,699"
23,,"40,394","27,949"
24,,"40,419","29,534"
25,,"40,818","29,799"
26,,"41,094","30,599"
27,,"41,286","30,999"
28,,"41,332","31,849"
29,,"41,633","31,849"
30,,"41,747","32,699"
31,,"41,773","32,849"
32,,"41,776","33,699"
33,,"41,928","33,899"
34,,"41,981","34,199"
35,,"42,071","34,399"
36,,"42,098","34,549"
37,,"42,112","35,299"
38,,"42,191","35,359"
39,,"42,264","35,949"
40,,"42,297","36,049"
41,,"42,297","36,099"
42,,"42,377","36,099"
43,,"42,721","36,199"
44,,"42,963","36,199"
45,,"43,076","36,249"
46,,"43,320","36,299"
47,,"46,675","36,399"
48,,"47,890","36,449"
49,,"48,141","36,449"
50,,"49,637","36,449"
51,,"52,536","36,461"
52,,"52,611","36,494"
53,,"52,735","36,499"
54,,"53,179","36,799"
55,,"54,156","36,799"
56,,"58,816","36,799"
57,,"60,325","36,799"
58,,"63,574","36,850"
59,,"68,867","36,949"
60,,"73,365","36,949"
61,,"78,138","37,199"
62,,"14,887","37,199"
63,,"19,863","37,199"
64,,"21,811","37,299"
65,,"21,867","37,399"
66,,"23,877","37,399"
67,,"24,863","37,399"
68,,"27,444","37,399"
69,,"27,467","38,199"
70,,"27,633","38,399"
71,,"28,631","38,499"
72,,"28,761","38,499"
73,,"28,811","38,499"
74,,"29,511","38,599"
75,,"29,833","38,699"
76,,"30,843","38,699"
77,,"32,433","38,699"
78,,"32,577","38,899"
79,,"32,841","38,899"
80,,"33,611","38,949"
81,,"33,708","38,999"
82,,"33,821","38,999"
83,,"33,822","38,999"
84,,"33,886","39,104"
85,,"34,288","39,249"
86,,"34,887","39,299"
87,,"36,821","39,299"
88,,"37,633","39,399"
89,,"38,844","39,499"
90,,"40,477","39,499"
91,,"40,631","39,599"
92,,"41,633","39,699"
93,,"41,877","39,699"
94,,"42,633","39,699"
95,,"43,633","39,799"
96,,"48,411","39,799"
97,,"48,588","39,999"
98,,"50,867","40,299"
99,,"50,877","40,299"
100,,"58,844","40,299"
101,,,"40,399"
102,,,"40,599"
103,,,"40,699"
104,,,"40,899"
105,,,"41,042"
106,,,"41,099"
107,,,"41,199"
108,,,"41,199"
109,,,"41,199"
110,,,"41,299"
111,,,"41,399"
112,,,"41,399"
113,,,"41,399"
114,,,"41,499"
115,,,"41,499"
116,,,"41,499"
117,,,"41,699"
118,,,"41,699"
119,,,"41,699"
120,,,"41,699"
121,,,"41,799"
122,,,"41,799"
123,,,"41,799"
124,,,"41,799"
125,,,"41,899"
126,,,"41,899"
127,,,"41,899"
128,,,"42,099"
129,,,"42,199"
130,,,"42,199"
131,,,"42,199"
132,,,"42,199"
133,,,"42,299"
134,,,"42,324"
135,,,"42,349"
136,,,"42,399"
137,,,"42,499"
138,,,"42,499"
139,,,"42,599"
140,,,"42,699"
141,,,"42,799"
142,,,"42,799"
143,,,"42,899"
144,,,"42,899"
145,,,"42,999"
146,,,"42,999"
147,,,"42,999"
148,,,"42,999"
149,,,"43,099"
150,,,"43,399"
151,,,"43,499"
152,,,"43,619"
153,,,"43,799"
154,,,"43,999"
155,,,"44,099"
156,,,"44,843"
157,,,"45,199"
158,,,"45,599"
159,,,"46,019"
160,,,"46,049"
161,,,"47,299"
162,,,"47,949"
163,,,"48,299"
164,,,"48,949"
165,,,"49,099"
166,,,"49,349"
167,,,"49,649"
168,,,"49,699"
169,,,"49,699"
170,,,"49,749"
171,,,"50,049"
172,,,"50,049"
173,,,"50,199"
174,,,"50,249"
175,,,"50,249"
176,,,"50,619"
177,,,"50,949"
178,,,"50,949"
179,,,"51,249"
180,,,"51,549"
181,,,"52,049"
182,,,"52,249"
183,,,"53,249"
184,,,"53,349"
185,,,"53,949"
186,,,"53,949"
187,,,"54,299"
188,,,"54,749"
189,,,"55,249"
190,,,"55,649"
191,,,"56,649"
192,,,"56,649"
193,,,"56,699"
194,,,"57,899"
195,,,"58,699"
196,,,"59,449"
197,,,"60,699"
198,,,"60,699"
199,,,"60,899"
200,,,"60,999"
201,,,"61,199"
202,,,"61,199"
203,,,"61,268"
204,,,"61,599"
205,,,"62,699"
206,,,"62,699"
207,,,"63,399"
208,,,"64,599"
209,,,"65,699"
210,,,"66,759"
211,,,"68,199"
212,,,"68,654"
213,,,"68,999"
214,,,"70,399"
215,,,"71,999"
259366,3995.0,,
267925,7500.0,,
268873,15264.0,,
269523,19800.0,,
270730,7995.0,,
272283,9995.0,,
274988,11995.0,,
276653,16974.0,,
276667,11995.0,,
277023,7495.0,,
277737,24568.0,,
278060,20240.0,,
278106,18950.0,,
278271,12000.0,,
278342,7755.0,,
278464,16988.0,,
278846,10556.0,,
279062,10850.0,,
279102,12997.0,,
279301,14800.0,,
279424,4995.0,,
279478,20995.0,,
279793,9988.0,,
279853,14675.0,,
279950,9900.0,,
279992,20999.0,,
280020,10000.0,,
280116,17500.0,,
280327,19995.0,,
280400,9299.0,,
280496,7995.0,,
280644,9900.0,,
280707,11995.0,,
280876,23597.0,,
280976,11289.0,,
281061,11750.0,,
281223,6995.0,,
281266,7995.0,,
281329,8996.0,,
281379,10750.0,,
281562,2400.0,,
281583,13993.0,,
281586,11970.0,,
281618,9995.0,,
281852,3500.0,,
282039,24978.0,,
282108,24988.0,,
282121,15000.0,,
282160,7995.0,,
282167,23595.0,,
282288,4995.0,,
282318,18900.0,,
282349,5595.0,,
282409,10495.0,,
282469,10995.0,,
282511,18991.0,,
282543,13765.0,,
282577,20483.0,,
282590,15994.0,,
282614,7728.0,,
282695,16500.0,,
282707,12366.0,,
282709,8999.0,,
282714,11299.0,,
282801,12995.0,,
282810,18495.0,,
282815,3699.0,,
282879,17700.0,,
282896,18997.0,,
282985,7795.0,,
283099,17900.0,,
283163,11995.0,,
283353,20998.0,,
283384,6899.0,,
283396,6970.0,,
283468,12990.0,,
283477,7410.0,,
283570,9998.0,,
283585,4995.0,,
283653,10975.0,,
283743,11999.0,,
283759,14995.0,,
283775,10496.0,,
283835,24983.0,,
283876,9999.0,,
283933,16998.0,,
284089,6988.0,,
284139,13300.0,,
284150,16991.0,,
284158,12888.0,,
284192,7989.0,,
284194,13977.0,,
284288,7500.0,,
284297,8600.0,,
284371,25370.0,,
284387,25688.0,,
284403,5995.0,,
284481,13675.0,,
284545,10950.0,,
284581,12000.0,,
284613,11999.0,,
284649,9750.0,,
284668,11288.0,,
284717,6995.0,,
284791,12495.0,,
284797,19995.0,,
284810,14899.0,,
284834,13812.0,,
284854,14699.0,,
284895,9550.0,,
284905,6495.0,,
284976,12487.0,,
285000,17995.0,,
285045,8995.0,,
285060,12899.0,,
285123,9999.0,,
285143,8500.0,,
285147,8200.0,,
285167,19700.0,,
285189,7000.0,,
285190,17500.0,,
285292,12422.0,,
285336,10900.0,,
285362,14400.0,,
285379,9584.0,,
285387,16200.0,,
285405,9495.0,,
285423,11700.0,,
285453,24984.0,,
285464,18798.0,,
285465,9999.0,,
285485,22000.0,,
285492,11900.0,,
285493,23988.0,,
285589,7872.0,,
285628,16701.0,,
285653,7999.0,,
285698,15995.0,,
285721,15828.0,,
285727,15988.0,,
285785,12500.0,,
285790,14950.0,,
285830,10641.0,,
285855,6695.0,,
285929,15995.0,,
285978,25696.0,,
286043,15995.0,,
286079,7000.0,,
286082,11258.0,,
286083,12845.0,,
286090,6993.0,,
286091,12448.0,,
286124,13999.0,,
286148,26499.0,,
286155,9995.0,,
286164,11990.0,,
286186,16999.0,,
286199,4980.0,,
286247,10995.0,,
286271,4995.0,,
286280,15000.0,,
286348,8495.0,,
286355,5550.0,,
286387,25981.0,,
286389,19451.0,,
286393,19988.0,,
286405,10000.0,,
286423,8995.0,,
286439,9999.0,,
286451,17900.0,,
286480,10995.0,,
286514,14000.0,,
286578,20800.0,,
286587,7995.0,,
286673,15995.0,,
286704,13995.0,,
286730,24996.0,,
286755,11998.0,,
286826,11999.0,,
286863,23999.0,,
286868,9950.0,,
286881,15492.0,,
286889,11995.0,,
286905,8995.0,,
286906,7990.0,,
286938,21000.0,,
286939,7988.0,,
286988,23999.0,,
287020,15995.0,,
287047,23998.0,,
287056,13985.0,,
287075,11017.0,,
287079,8999.0,,
287116,7900.0,,
287212,7900.0,,
287229,14819.0,,
287255,13998.0,,
287282,17998.0,,
287294,10585.0,,
287296,13893.0,,
287324,22599.0,,
287326,8675.0,,
287327,13399.0,,
287347,25412.0,,
287368,13404.0,,
287402,10400.0,,
287413,14900.0,,
287420,10821.0,,
287429,10732.0,,
287446,14968.0,,
287523,10999.0,,
287567,10950.0,,
287589,10995.0,,
287600,8950.0,,
287628,23996.0,,
287664,16741.0,,
287666,8499.0,,
287680,18000.0,,
287693,7992.0,,
287724,6989.0,,
287751,25887.0,,
287752,16995.0,,
287771,8895.0,,
287794,7950.0,,
287822,15353.0,,
287825,21500.0,,
287866,16993.0,,
287895,16500.0,,
287909,12990.0,,
287913,12795.0,,
287932,13750.0,,
287979,8494.0,,
288001,10357.0,,
288009,19900.0,,
288047,12358.0,,
288066,25974.0,,
288076,26948.0,,
288092,12995.0,,
288114,10995.0,,
288121,11000.0,,
288122,19950.0,,
288135,23999.0,,
288150,10995.0,,
288156,21988.0,,
288182,15995.0,,
288186,16295.0,,
288203,21036.0,,
288204,26988.0,,
288209,9737.0,,
288251,8900.0,,
288282,22000.0,,
288302,21500.0,,
288308,17000.0,,
288313,21000.0,,
288345,11444.0,,
288349,14185.0,,
288368,14495.0,,
288391,27000.0,,
288394,25500.0,,
288396,14990.0,,
288420,26999.0,,
288437,13577.0,,
288440,15900.0,,
288462,12450.0,,
288463,25987.0,,
288535,8999.0,,
288594,4950.0,,
288595,9984.0,,
288596,27994.0,,
288610,20599.0,,
288613,12566.0,,
288638,16343.0,,
288639,10995.0,,
288645,13495.0,,
288666,16726.0,,
288695,26815.0,,
288707,13995.0,,
288737,26984.0,,
288868,5995.0,,
288875,16950.0,,
288887,27208.0,,
288891,6000.0,,
288934,13500.0,,
288941,8500.0,,
288968,12592.0,,
288974,27400.0,,
289021,12194.0,,
289056,11977.0,,
289061,20400.0,,
289089,9948.0,,
289100,18999.0,,
289105,21985.0,,
289146,12358.0,,
289149,9900.0,,
289160,14996.0,,
289174,18553.0,,
289205,24900.0,,
289227,21098.0,,
289236,19962.0,,
289267,5800.0,,
289271,7589.0,,
289278,12900.0,,
289290,18124.0,,
289298,14423.0,,
289313,5900.0,,
289354,15500.0,,
289374,16790.0,,
289402,9999.0,,
289409,18995.0,,
289436,14500.0,,
289471,11995.0,,
289474,24997.0,,
289586,17854.0,,
289625,10995.0,,
289626,11995.0,,
289634,16500.0,,
289650,5695.0,,
289659,9495.0,,
289670,11995.0,,
289673,12795.0,,
289692,12900.0,,
289698,9499.0,,
289715,18000.0,,
289720,12977.0,,
289758,13888.0,,
289783,24758.0,,
289790,20170.0,,
289813,13500.0,,
289819,7999.0,,
289850,9950.0,,
289866,13495.0,,
289867,10995.0,,
289875,9995.0,,
289895,15102.0,,
289933,10990.0,,
289940,15883.0,,
289948,5950.0,,
289965,19664.0,,
290033,20975.0,,
290037,5500.0,,
290043,9598.0,,
290054,10950.0,,
290057,10989.0,,
290069,14806.0,,
290074,8995.0,,
290084,13398.0,,
290088,5795.0,,
290096,16500.0,,
290103,16479.0,,
290108,19816.0,,
290128,12600.0,,
290129,7123.0,,
290181,18995.0,,
290214,14495.0,,
290217,27000.0,,
290218,19850.0,,
290219,6990.0,,
290223,6995.0,,
290252,18483.0,,
290280,20900.0,,
290308,27500.0,,
290310,14499.0,,
290321,11000.0,,
290329,16477.0,,
290357,14263.0,,
290365,14999.0,,
290374,24496.0,,
290398,5999.0,,
290404,7950.0,,
290407,19500.0,,
290415,5499.0,,
290489,5999.0,,
290504,10495.0,,
290529,12995.0,,
290556,11998.0,,
290571,16995.0,,
290591,19834.0,,
290605,11850.0,,
290617,10000.0,,
290624,14933.0,,
290653,9995.0,,
290678,20699.0,,
290681,17936.0,,
290683,5695.0,,
290688,24965.0,,
290707,13495.0,,
290708,12995.0,,
290710,17290.0,,
290734,7995.0,,
290755,10998.0,,
290770,27000.0,,
290793,16750.0,,
290798,13426.0,,
290802,16995.0,,
290806,25995.0,,
290810,20000.0,,
290835,13700.0,,
290844,11900.0,,
290863,12999.0,,
290867,21500.0,,
290870,25999.0,,
290878,14999.0,,
290888,24999.0,,
290906,9995.0,,
290929,13950.0,,
290945,25997.0,,
290951,12282.0,,
290953,9990.0,,
290957,10995.0,,
290963,24000.0,,
290969,12499.0,,
290978,9950.0,,
290988,24995.0,,
291012,7900.0,,
291019,9800.0,,
291041,15995.0,,
291077,22300.0,,
291136,16998.0,,
291140,16988.0,,
291156,15988.0,,
291168,16999.0,,
291178,27450.0,,
291189,6000.0,,
291193,19990.0,,
291207,23576.0,,
291215,13498.0,,
291235,17600.0,,
291282,13831.0,,
291289,24691.0,,
291307,27994.0,,
291329,11490.0,,
291336,11900.0,,
291338,10950.0,,
291341,20700.0,,
291342,5850.0,,
291365,5988.0,,
291370,12873.0,,
291379,24499.0,,
291396,8000.0,,
291403,12699.0,,
291422,22550.0,,
291430,24990.0,,
291485,18500.0,,
291488,12900.0,,
291491,23245.0,,
291514,12000.0,,
291528,23999.0,,
291532,27791.0,,
291564,25025.0,,
291565,14990.0,,
291580,5995.0,,
291584,10777.0,,
291586,7995.0,,
291619,10995.0,,
291654,17995.0,,
291673,12998.0,,
291680,11913.0,,
291703,21000.0,,
291710,10995.0,,
291742,17723.0,,
291748,19970.0,,
291766,21995.0,,
291767,7352.0,,
291775,24500.0,,
291780,12998.0,,
291787,8990.0,,
291788,19995.0,,
291817,16295.0,,
291824,15995.0,,
291825,7999.0,,
291856,28410.0,,
291867,20000.0,,
291869,21998.0,,
291904,8495.0,,
291934,15395.0,,
291935,13990.0,,
291941,10995.0,,
291946,16500.0,,
291959,16995.0,,
291971,7995.0,,
291979,15999.0,,
291988,14800.0,,
291997,11139.0,,
292045,20782.0,,
292057,16377.0,,
292066,20244.0,,
292077,15248.0,,
292104,5500.0,,
292108,11988.0,,
292115,15976.0,,
292124,10899.0,,
292152,12977.0,,
292188,16200.0,,
292196,12597.0,,
292215,28275.0,,
292216,23964.0,,
292217,12995.0,,
292227,14200.0,,
292240,9782.0,,
292253,11988.0,,
292257,15500.0,,
292258,11995.0,,
292284,18950.0,,
292302,16473.0,,
292312,16997.0,,
292318,10495.0,,
292339,9950.0,,
292342,16340.0,,
292344,13990.0,,
292345,24440.0,,
292365,17990.0,,
292411,17983.0,,
292421,6950.0,,
292424,11658.0,,
292426,16250.0,,
292436,13477.0,,
292437,7989.0,,
292444,16995.0,,
292445,10999.0,,
292464,18987.0,,
292475,24229.0,,
292484,19999.0,,
292496,14986.0,,
292512,10500.0,,
292516,19990.0,,
292518,25383.0,,
292546,25000.0,,
292554,13777.0,,
292559,7239.0,,
292573,11995.0,,
292574,25000.0,,
292581,16995.0,,
292593,19995.0,,
292595,19794.0,,
292621,18688.0,,
292636,7950.0,,
292644,22853.0,,
292651,12995.0,,
292653,5426.0,,
292696,25377.0,,
292697,26495.0,,
292702,25983.0,,
292705,10495.0,,
292706,13995.0,,
292709,7999.0,,
292723,13995.0,,
292728,18900.0,,
292749,11000.0,,
292768,8990.0,,
292779,15999.0,,
292781,15518.0,,
292802,9985.0,,
292820,22995.0,,
292821,11977.0,,
292824,12995.0,,
292837,20477.0,,
292851,27990.0,,
292855,20995.0,,
292862,8995.0,,
292872,16983.0,,
292900,13996.0,,
292911,23700.0,,
292925,15995.0,,
292937,17988.0,,
292941,10000.0,,
292943,27985.0,,
292968,26981.0,,
292998,26901.0,,
293006,9986.0,,
293007,7990.0,,
293036,15990.0,,
293068,16995.0,,
293080,14500.0,,
293086,13194.0,,
293102,11999.0,,
293104,9500.0,,
293114,13000.0,,
293140,16000.0,,
293144,15999.0,,
293155,20900.0,,
293165,9999.0,,
293176,13900.0,,
293196,18695.0,,
293202,15931.0,,
293206,12495.0,,
293216,14999.0,,
293229,12829.0,,
293242,14995.0,,
293244,16995.0,,
293247,2499.0,,
293269,16995.0,,
293273,18499.0,,
293283,10972.0,,
293293,27522.0,,
293304,23500.0,,
293307,14998.0,,
293328,17995.0,,
293350,23596.0,,
293356,12500.0,,
293378,12500.0,,
293380,17972.0,,
293381,14995.0,,
293388,26600.0,,
293420,18990.0,,
293422,21000.0,,
293424,26841.0,,
293431,23382.0,,
293458,20293.0,,
293464,25000.0,,
293468,14190.0,,
293481,11500.0,,
293491,14295.0,,
293495,21677.0,,
293505,6795.0,,
293555,16990.0,,
293569,9911.0,,
293573,15500.0,,
293576,20000.0,,
293586,29000.0,,
293606,12720.0,,
293637,12995.0,,
293647,18500.0,,
293658,16998.0,,
293663,10500.0,,
293669,24995.0,,
293683,16999.0,,
293690,20994.0,,
293703,21777.0,,
293706,24911.0,,
293743,14493.0,,
293744,11500.0,,
293746,9999.0,,
293781,26985.0,,
293788,5555.0,,
293798,10900.0,,
293804,21205.0,,
293816,16987.0,,
293833,11000.0,,
293874,18910.0,,
293875,9999.0,,
293878,20989.0,,
293880,16000.0,,
293882,7499.0,,
293913,19977.0,,
293915,6997.0,,
293919,12991.0,,
293924,12982.0,,
293925,13899.0,,
293927,15995.0,,
293934,13982.0,,
293935,25971.0,,
293938,26995.0,,
293939,10433.0,,
293961,14700.0,,
293968,18997.0,,
293969,8990.0,,
293970,11895.0,,
293977,4500.0,,
293979,22999.0,,
293987,12500.0,,
293990,10995.0,,
293992,21995.0,,
294001,26814.0,,
294004,24995.0,,
294009,12256.0,,
294011,7669.0,,
294012,13789.0,,
294016,26000.0,,
294022,15477.0,,
294031,12375.0,,
294035,13890.0,,
